INBMM0528-17	Beágyazott rendszerek	6	7	CSE_BSC
INBMM0531-21	A gazdasági jog alapjai	3	13	CSE_BSC
INBMM0630-21	Mobil megoldások	3	9	CSE_BSC
INBMM0632-17	Menedzsment alapok mérnököknek	6	12	CSE_BSC
INBMM0636-21	Szakdolgozat 1	6	8	CSE_BSC
INBMM0736-21	Szakdolgozat 2	9	11	CSE_BSC
INBMM9929-24	Informatikai rendszerek felépítése, modellezése, analízise, megvalósítása	2	17	CSE_BSC
INBMM9937-17	Mikrokontrollerek	6	14	CSE_BSC
INBMM9938-21	Hálózati eszközök programozása 1	6	7	CSE_BSC
INBMM9939-17	Újrakonfigurálható áramkörök	6	8	CSE_BSC
INBMM9940-17	Beágyazott rendszerek fejlesztése	6	5	CSE_BSC
INBMM9941-21	Hálózati eszközök programozása 2	6	15	CSE_BSC
INBMM9942-17	Hálózatok modellezése és hatékonyságvizsgálata	6	18	CSE_BSC
INBMM9943-17	Távközlő hálózatok és technikák	6	15	CSE_BSC
INBMM9944-17	Szenzor és aktuátor hálózatok	6	18	CSE_BSC
INBMM9945-17	Szkriptnyelvek	3	13	CSE_BSC
INBMM9946-17	Az információ- és kódelmélet alapjai	3	18	CSE_BSC
INBMM9947-17	Bevezetés a Felhőtechnológiákba	3	15	CSE_BSC
INBMM9948-21	Informatikai biztonság alapjai	3	7	CSE_BSC
INBMM9949-21	IT Szolgáltatások gyakorlati megvalósítása nagyvállalati környezetben	6	18	CSE_BSC
INBMM9950-17	Vállalat irányítási rendszerek alkalmazása és fejlesztése Microsoft alapokon	3	17	CSE_BSC
INBMM9951-17	Bevezetés az önvezető autók fejlesztésébe	6	7	CSE_BSC
INBMM9952-17	Etikus hackelés I.	3	11	CSE_BSC
INBMM9953-17	Blokklánc technológia	3	17	CSE_BSC
INBMM9954-17	Data Engineering alapok	6	10	CSE_BSC
INBMM9955-17	Szoftverfejlesztés az NI nagyvállalati környezetében	3	17	CSE_BSC
INBMM9956-17	Felhő alapú infrastruktúra menedzselése	3	11	CSE_BSC
INBMM9957-17	Karriermenedzsment	3	12	CSE_BSC
INBMM9958-17	Bevezetés az AWS alapú felhő infrastruktúrába	3	18	CSE_BSC
INBMM9959-21	Hálózat- és rendszerbiztonság	3	11	CSE_BSC
INBMM9976-21	Matematikai programcsomagok	2	6	CSE_BSC
INBMM9984-17	Szoftverfejlesztés C# nyelven nagyvállalati környezetben	3	8	CSE_BSC
INBMM9985-17	Informatikai szakmai angol nyelv	5	17	CSE_BSC
INBMM9986-17	Matematikai versenyfeladatok	3	9	CSE_BSC
INBMM9987-17	Informatikai versenyfeladatok	3	15	CSE_BSC
INBMM9988-17	Algoritmikus gondolkodás	2	16	CSE_BSC
INBMM9990-17	SAP vállalat irányítási rendszer programozása (ABAP)	3	17	CSE_BSC
INBMM9997-21	Szakmai gyakorlat	12	9	CSE_BSC
INBMM9998-17	Máshol teljesített szakmai kredit	0	5	CSE_BSC
INBMM9999-17	Máshol teljesített kredit	0	13	CSE_BSC
